정류소ID,정류소번호,정류소명,X좌표,Y좌표
100000001,01001,종로2가사거리,126.9877498816,37.5697651251
100000002,01002,창경궁.서울대학교병원,126.9965660023,37.5791830159
100000003,01003,명륜3가.성대입구,126.9983401004,37.5826711749
100000004,01004,종로2가.삼일교,126.9876130976,37.5685792736
100000005,01005,혜화동로터리,127.001744,37.586243
101000305,01006,서대문역사거리,126.966893,37.566137
100000380,01007,서울역사박물관.경희궁앞,126.97038,37.569135
100000379,01008,서울역사박물관.경희궁앞,126.970609,37.569412
100000384,01009,광화문,126.9752507511,37.570135474
100000385,01010,광화문,126.978085488,37.570216807
100000386,01011,종로1가,126.9809105247,37.5701184824
100000387,01012,종로1가,126.9813906402,37.5702290311
100000388,01013,종로2가,126.9855426998,37.5701386788
100000389,01014,종로2가,126.9862474502,37.5702571998
100000390,01015,종로3가.탑골공원,126.9895646721,37.5702449756
100000391,01016,종로3가.탑골공원,126.9899877751,37.5703605443
100000392,01017,종로4가.종묘,126.9947218896,37.5705069968
100000393,01018,종로4가.종묘,126.9952838124,37.5706271118
100000394,01019,종로5가.광장시장,126.9988498093,37.570756793
100000395,01020,종로5가.광장시장,126.9993346185,37.5708806279
100000396,01021,종로6가.동대문종합시장,127.0034638793,37.5709624756
100000397,01022,종로6가.동대문종합시장,127.0057137364,37.5711272339
100000398,01023,동대문역.흥인지문,127.0134512388,37.5723023219
100000365,01037,동대문(흥인지문),127.0120461121,37.5719529259
100000366,01041,동묘앞,127.0184514373,37.5737255179
100000367,01044,동묘앞,127.0196720085,37.5742434484
100000006,01101,경기상고,126.9693634554,37.5875502159
100000007,01102,신교동,126.9702653687,37.5832657654
100000008,01103,경기상고,126.9697701102,37.5871907861
100000009,01104,경복고교,126.9710436571,37.585113193
100000010,01105,청운중학교,126.9725135095,37.5878519552
100000011,01106,자하문고개.윤동주문학관,126.9671261805,37.5921866176
100000012,01107,자하문고개.윤동주문학관,126.9671906625,37.5923353152
100000013,01108,청운중학교,126.9724613198,37.5881285775
100000014,01109,경복고교,126.9711546793,37.5849663426
100000015,01110,통인시장종로구보건소,126.9710500404,37.5803257033
100000016,01111,통인시장종로구보건소,126.9713851083,37.5805132118
100000017,01112,효자동,126.9706209712,37.583091043
100000018,01113,사직단.어린이도서관,126.9679907155,37.5751355316
100000019,01114,사직동주민센터,126.9713244962,37.5761834563
100000020,01115,경복궁역,126.97219601,37.5768666917
100000021,01116,경복궁역,126.9722828893,37.5776713863
100000022,01117,경복궁,126.9787471496,37.5755767894
100000023,01118,KT광화문지사,126.9773193291,37.5724064843
100000025,01120,광화문,126.9763838838,37.569845398
100000028,01123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023
100000029,01124,광화문.금호아시아나본관앞,126.9731335513,37.5702880403
100000030,01125,광화문,126.975837,37.570365
100000031,01126,세종문화회관,126.9765652658,37.5726577416
100000032,01127,서울지방경찰청.경복궁역,126.9714842989,37.5757446636
100000033,01128,사직단,126.968188961,37.5748553458
100000034,01129,광화문광화문빌딩,126.9765458935,37.569450752
100000035,01130,덕성여중고,126.9819692323,37.5757260055
100000036,01131,안국역.종로경찰서.인사동,126.9840715924,37.5760056461
100000037,01132,국민은행세검정지점,126.9608880061,37.6046629766
100000038,01133,세검정초등학교,126.9612198463,37.6025022799
100000039,01134,세검정.상명대,126.9587223861,37.6007325989
100000040,01135,상명대입구.석파랑,126.958570225,37.5994133537
100000041,01136,하림각,126.9617068235,37.5981330665
100000042,01137,자하문터널입구.석파정,126.9636434993,37.5955935123
100000043,01138,부암동주민센터.무계원,126.9639574356,37.5927380599
